extension_id,extension_name,timestamp,scenario,source,origin,method,url,domain,resource_type,post_data_preview,request_headers_json,is_extension_initiated,is_unauthorized_domain,initiator_url,frame_url,host_permissions,content_script_matches,evidence_summary
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:09.406,S3_Gmail,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fwww.linkedin.com%2Fcheckpoint%2Fchallenge%2FAQE5gYHsnxv2lgAAAZ_xmEkZQYLCctqmTsWVEg77S05Xl_dlYOFs9c_DuujAT0M4rkJGFUOhKUdN2fhwAbd5P7nqMqLz_Q%2F%3Fut%3D33AvqZ84tbkIo1%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:09.407,S3_Gmail,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fwww.linkedin.com%2Fcheckpoint%2Fchallenge%2FAQE5gYHsnxv2lgAAAZ_xmEkZQYLCctqmTsWVEg77S05Xl_dlYOFs9c_DuujAT0M4rkJGFUOhKUdN2fhwAbd5P7nqMqLz_Q%2F%3Fut%3D33AvqZ84tbkIo1%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:19.855,S3_Gmail,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:23.270,S3_Gmail,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:43.528,S4_HTTP_Site,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fexample.com%2F%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:43.528,S4_HTTP_Site,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fexample.com%2F%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:56.485,S5_Login_Form,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fwww.iana.org%2Fhelp%2Fexample-domains%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: dom_scraping
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:12:56.485,S5_Login_Form,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fwww.iana.org%2Fhelp%2Fexample-domains%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: dom_scraping
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:13:02.028,S5_Login_Form,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fthe-internet.herokuapp.com%2Flogin%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: credential_theft
bbdpihagclfjiodkbebbheamdhifhcgl,"YapThread - Record, Bookmark, AI Chat",2026-08-11T23:13:02.028,S5_Login_Form,Service Worker,chrome-extension://bbdpihagclfjiodkbebbheamdhifhcgl/,GET,https://api.yapthread.com/trpc/upload.scrapeViaMicrolink?batch=1&input=%7B%220%22%3A%7B%22json%22%3A%7B%22url%22%3A%22https%3A%2F%2Fthe-internet.herokuapp.com%2Flogin%22%7D%7D%7D,api.yapthread.com,fetch,,"{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[\""<all_urls>\""]""",GET to api.yapthread.com; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: credential_theft
