extension_id,name,version,risk_level,risk_level_id,risk_score,see_categories,permissions_count,sensitive_perms_count,http_api_total,external_domains,has_wildcard_cs,analyzed_at
__MSG_8969005060131950570__,__MSG_8969005060131950570__,2.0.17,MEDIUM,MENENGAH,40,"UReq,UProf",5,2,100,8,True,2026-08-11T22:50:54
_MSG_appName_,__MSG_appName__,0.23.21,HIGH,RENTAN,65,"UReq,UProf,LF",3,1,27,22,True,2026-08-11T22:50:56
aapbdbdomjkkjkaonfhkkikfgjllcleb,__MSG_8969005060131950570__,2.0.16,MEDIUM,MENENGAH,40,"UReq,UProf",5,2,110,7,True,2026-08-11T22:51:00
acfifjfajpekbmhmjppnmmjgmhjkildl,Certisign WebSigner,2.18.0,HIGH,RENTAN,75,"UReq,UProf,CE",4,4,9,16,True,2026-08-11T22:51:01
AHA Music - Song Finder for Browser__dpacanjfikmhoddligfbehkpomnbgblf_v2.0.6,__MSG_appName__,2.0.6,MEDIUM,MENENGAH,45,CE,7,5,7,11,True,2026-08-11T22:51:01
Apifox Browser Extension__eggdlmopfankeonchoflhfoglaakobma_v1.0.9,Apifox Browser Extension,1.0.9,LOW,AMAN,10,,0,0,1,2,True,2026-08-11T22:51:01
Apowersoft Free Screen Recorder__lgcbiaeenojjpckkemdckcmfebgjkoce_v3.2,__MSG_key_logo_name__,3.2,LOW,AMAN,0,,1,0,30,30,True,2026-08-11T22:51:02
Backit Plugin__hfdhpmpfpcnbboppkkkblilhbloejijj_v4.1.3,Backit Plugin,4.1.3,HIGH,RENTAN,65,"UProf,CE",4,2,23,33,True,2026-08-11T22:51:03
bbafmabaelnnkondpfpjmdklbmfnbmol,Web Signer,2.17.1,HIGH,RENTAN,75,"UReq,UProf,CE",4,4,16,29,True,2026-08-11T22:51:04
bnjjngeaknajbdcgpfkgnonkmififhfo,Fake Filler,4.1.0,HIGH,RENTAN,75,"UReq,UProf,CE",4,2,35,16,True,2026-08-11T22:51:05
Braavos_ Bitcoin & Starknet Wallet__jnlgamecbpmbajjfhmmmlhejkemejdma_v4.19.6,__MSG_appName__,4.19.6,HIGH,RENTAN,65,"UProf,CE",8,3,27,110,True,2026-08-11T22:51:16
Brisk Boost__pdldjapecechflnpdgpeiklnbigamggl_v1.0.378,Brisk Boost,1.0.379,HIGH,RENTAN,95,"UProf,CE,CLE",3,2,42,66,True,2026-08-11T22:51:19
Bro-Mon 🐾 Browser Monsters - Web Surf Game__oedkbkpngfmjfbmmmijkogojlcddmcgf_v3.0.5,__MSG_extName__,3.0.5,LOW,AMAN,30,UProf,2,1,26,20,True,2026-08-11T22:51:24
"Careerflow AI Job Application Tracker, ATS Resume Checker, Autofill & more__iadokddofjgcgjpjlfhngclhpmaelnli_v2.9.55","Careerflow AI Job Application Tracker, ATS Resume Checker, Autofill & more",2.9.55,HIGH,RENTAN,120,"UProf,LF,CE,CLE",2,2,158,121,True,2026-08-11T22:51:35
Clockify Time Tracker__pmjeegjhjdlccodhacdgbgfagbpmccpe_v2.11.54,__MSG_appName__,2.11.54,HIGH,RENTAN,105,"UProf,CE,FH",10,4,10,17,True,2026-08-11T22:51:38
cnjifjpddelmedmihgijeibhnjfabmlf,Obsidian Web Clipper,1.6.1,HIGH,RENTAN,65,"UProf,LF,HH",8,4,21,33,True,2026-08-11T22:51:48
Cold Turkey Blocker__pganeibhckoanndahmnfggfoeofncnii_v4.9.4,Cold Turkey Blocker,4.9.4,LOW,AMAN,30,UProf,6,3,1,4,True,2026-08-11T22:51:49
Connective signing extension__kclpjmhngbacampgcdojmiedamjbgjjm_v1.0.9,Connective signing extension,1.0.9,LOW,AMAN,20,UProf,1,1,1,2,True,2026-08-11T22:51:49
dcngeagmmhegagicpcmpinaoklddcgon,Web PKI,2.18.3,HIGH,RENTAN,75,"UReq,UProf,CE",4,4,9,18,True,2026-08-11T22:51:50
DeepL_ translate and write with AI__cofdbpoegempjloogbagkncekinflcnj_v1.87.0,__MSG_appName__,1.87.0,HIGH,RENTAN,115,"UProf,CE,HH,CLE",12,8,74,55,True,2026-08-11T22:52:00
dgjbaljgolmlcmmklmmeafecikidmjpi,__MSG_extName__,2.0.17,HIGH,RENTAN,85,"UProf,CE,HH",5,4,1269,2755,True,2026-08-11T22:52:13
