extension_id,label,see_categories,manifest_version,permissions_count,has_host_permissions,host_permissions_count,has_content_scripts,has_holistic_match_pattern,match_pattern_scope,has_service_worker,has_background_page,sensitive_permissions_count,has_web_accessible_resources,has_externally_connectable,has_csp_declaration,has_update_url,content_script_count,has_file_match_pattern,has_all_frames,content_script_run_at,has_dnr_rules_file,has_redirect_rules,dnr_rule_count,has_optional_host_permissions,optional_permissions_count,has_cookies_permission,has_history_permission,has_tabs_permission,has_bookmarks_permission,has_topSites_permission,has_browsingData_permission,has_downloads_permission,has_geolocation_permission,has_webRequest_permission,has_webRequestBlocking_permission,has_debugger_permission,has_management_permission,has_activeTab_permission,has_clipboardRead_permission,has_clipboardWrite_permission,has_contentSettings_permission,has_privacy_permission,has_proxy_permission,has_nativeMessaging_permission,has_webNavigation_permission,has_declarativeNetRequest_permission,has_offscreen_permission,has_fileBrowserHandler_permission,js_file_count,total_js_size_bytes,fetch_api_count,xhr_api_count,http_api_total_count,has_external_url_in_js,external_domain_count,has_runtime_sendMessage,has_onMessage_listener,has_eval_or_function,has_websocket,has_sendBeacon,has_cookies_getAll,has_cookies_get,has_document_cookie,has_formdata,has_blob,has_arraybuffer,has_setInterval,has_setTimeout,has_json_stringify,has_btoa,has_downloads_onCreated,has_downloads_cancel,has_downloads_download,has_tabs_create,has_declarativeNetRequest_js,outbound_request_count,unauthorized_domain_count,sends_user_data,has_periodic_sync,is_sw_initiated,is_cs_initiated,see_behavior_detected,cookies_stolen,redirect_detected,download_hijacked
3D Model Downloader__gbdaimhoibipdfjcejfnhjiiipglfolf_v1.0.0,1,UProf,3,1,False,0,True,True,3,False,False,1,False,False,False,True,2,False,False,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,8848,0,0,0,False,0,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
67 Modes__epalknkeekpgbcefekliakemaoiieihh_v1.0.1,1,,3,1,False,0,True,True,3,False,False,0,False,False,False,True,1,False,True,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,26603,0,0,0,True,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
A11y Agent__dlfhldnfebkdpfiadgfbbokhkilkcldi_v0.7.1,1,UReq,3,5,False,0,True,True,3,True,False,2,True,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,9,453178,4,0,7,True,5,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
Accessibility Visualizer by Webability__jbadkmdfkhibeigbahhbfhgfohfamihi_v3.0.1,1,"UReq,UProf",3,3,False,0,True,True,3,True,False,1,True,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,612574,1,1,13,True,4,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
Ad Blocker & Pop Up Blocker Free__hbojhfcenacjamkmlbjahpejofnpfaoh_v1.0,1,"UReq,UProf",3,3,False,0,True,True,3,False,False,1,False,False,False,True,1,False,False,1,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,4059,0,0,2,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
Adios Alexa for Shopping (formerly Rufus Remover)__mieclgnidoedjdjgbkdbdeeighicndkk_v2.0.0,1,"UReq,UProf",3,3,False,0,True,False,2,True,False,1,False,False,False,True,1,False,False,1,False,False,0,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,80217,0,0,5,False,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
Advanced Find__klggkkcendjllkafifiapjiadoiijngf_v1.1.1,1,"UReq,UProf",3,2,False,0,True,True,3,True,False,1,True,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6,53693,2,0,2,True,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2,False,False,False,True,True,False,False,False
AI Background Remover Pro__digfbagcepnhepbcecepngcaecjhbmjf_v1.2.1,1,"UReq,UProf,LF,UDown",3,3,False,0,True,True,3,True,False,2,True,False,True,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6,1740400,18,4,32,True,8,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,0,4,False,False,False,True,True,False,True,False
AI Prompt Capsule__oecjnijhbnpljhhhammpcmomadblinnl_v0.1.3,1,,3,1,False,0,True,True,3,True,False,0,False,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,33739,0,0,0,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
AI Prompt Framework Helper__najadbfgioidonbjdfgggjbgoieojegh_v1.2.1,1,,3,1,False,0,True,True,3,True,False,0,False,False,False,True,1,False,False,3,False,False,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,49167,0,0,0,True,1,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,4,False,False,False,True,True,False,True,False
